"타임스탬프","1. 연령대를 선택해주세요.","2. 최근 1년 이내 온라인으로 의류를 구매한 적이 있나요?","3. 온라인에서 주로 구매하거나 찾아보는 의류를 모두 선택해주세요.","4. 가장 최근에 구매했거나 구매를 고민했던 옷은 무엇이었나요?","5. 그때 옷을 찾기 시작한 계기는 무엇이었나요?","6.  그때 처음 옷을 찾기 시작한 곳은 어디였나요?","7. 그 상품을 찾는 과정에서 실제로 했던 행동을 모두 선택해주세요.","8. 옷을 고를 때 중요하게 생각했던 조건을 최대 5개까지 선택해주세요.","9. 그 과정에서 불편했던 점을 모두 선택해주세요.","10. 위에서 선택한 것 중 가장 불편했던 한 가지는 무엇인가요?","11. 그 불편함 때문에 실제로 어떤 행동을 한 적이 있나요?","12. 온라인으로 구매한 옷을 교환하거나 반품했던 가장 흔한 이유는 무엇인가요? (최대 2개)","13. 온라인에서 옷 하나를 결정하기까지 보통 어느 정도 시간이 걸리나요?","14. 현재 쇼핑 과정에서 가장 귀찮다고 느끼는 작업 하나만 꼽는다면 무엇인가요?","15. 다음과 같은 도움 중 실제로 있다면 가장 유용할 것 같은 것을 최대 3개 선택해주세요.","16. 위 기능을 이용한다면 어떤 방식이 가장 편할 것 같나요?","17. 온라인으로 옷을 사면서 이런 것까지 대신해주면 정말 편할 텐데라고 생각했던 것이 있다면 자유롭게 적어주세요."
"2026. 9. 1 오후 4:56:45","40~44세","7회 이상","티셔츠 / 니트 / 블라우스 등 상의, 바지, 원피스, 재킷 / 코트 / 점퍼 등 아우터, 운동복 / 골프웨어","바지","평소 입을 옷이 필요해서","쿠팡","검색어를 여러 번 바꿔가며 검색했다, 상품 목록을 오래 둘러봤다, 사이즈표를 확인했다, 사진 후기를 찾아봤다, 나와 비슷한 체형/연령의 후기를 찾아봤다","디자인이 마음에 드는지, 나에게 잘 어울릴 것 같은지, 사이즈가 맞을 것 같은지, 소재 / 촉감, 가격","비슷한 상품이 너무 많아 무엇을 골라야 할지 모르겠다, 상품 사진과 실제 모습이 다를까 걱정된다, 내 체형에 맞을지 판단하기 어렵다","상품 사진과 실제 모습이 다를까 걱정된다","마음에 완전히 들지 않아도 그냥 구매했다","생각했던 핏과 달라서, 나에게 어울리지 않아서","10~30분","안맞을때 반품,교환 과정을 겪어야하는것","비슷한 상품끼리 차이점을 비교해주기, 나와 비슷한 체형 / 연령의 후기만 찾아주기, 나에게 맞는 사이즈를 추천해주기","여러 상품을 선택하면 비교해주는 방식","내가 가진 옷들을 아카이빙해놓으면 다양한 코디방법 알려주는것"
"2026. 9. 1 오후 5:06:58","40~44세","1~2회","티셔츠 / 니트 / 블라우스 등 상의, 운동복 / 골프웨어","티셔츠 / 니트 / 블라우스 등 상의, 재킷 / 코트 / 점퍼 등 아우터","할인 / 특가 상품을 발견해서","인스타그램 / 유튜브 등 SNS","상품 목록을 오래 둘러봤다, 상세페이지를 꼼꼼히 확인했다, 사진 후기를 찾아봤다","나에게 잘 어울릴 것 같은지, 체형이 잘 보완되는지, 소재 / 촉감, 옷의 품질, 가격, 할인 여부, 브랜드, 다른 옷과 코디하기 쉬운지, 배송 / 교환 / 반품이 편한지, 리뷰가 좋은지","비슷한 상품이 너무 많아 무엇을 골라야 할지 모르겠다, 소재나 품질을 사진만 보고 판단하기 어렵다, 광고성 / 협찬성 후기인지 구분하기 어렵다","소재나 품질을 사진만 보고 판단하기 어렵다","결정을 미루고 나중에 다시 찾아봤다, 오프라인 매장에 가서 확인했다","나에게 어울리지 않아서, 소재나 품질이 기대와 달라서","여러 날에 걸쳐 고민한다","","내가 말한 조건에 맞는 상품만 골라주기, 비슷한 상품끼리 차이점을 비교해주기","여러 상품을 선택하면 비교해주는 방식",""
"2026. 9. 1 오후 5:07:09","45~50세","7회 이상","티셔츠 / 니트 / 블라우스 등 상의, 바지, 스커트, 원피스, 재킷 / 코트 / 점퍼 등 아우터, 정장 / 출근복, 운동복 / 골프웨어, 특별한 날에 입는 옷","원피스","특별한 목적 없이 구경하다가","인스타그램 / 유튜브 등 SNS","상세페이지를 꼼꼼히 확인했다, 사이즈표를 확인했다, 구매후기를 많이 읽었다, 사진 후기를 찾아봤다, 나와 비슷한 체형/연령의 후기를 찾아봤다, 가족이나 지인에게 의견을 물었다","디자인이 마음에 드는지, 나에게 잘 어울릴 것 같은지, 사이즈가 맞을 것 같은지, 체형이 잘 보완되는지, 색상이 나에게 어울리는지, 실제 착용했을 때 편할지, 소재 / 촉감, 옷의 품질, 가격, 할인 여부, 다른 옷과 코디하기 쉬운지, 원하는 상황에 입기 적절한지, 세탁 / 관리가 쉬운지, 리뷰가 좋은지","원하는 스타일의 상품을 찾는 데 시간이 오래 걸린다, 검색어를 어떻게 입력해야 원하는 상품이 나오는지 어렵다, 비슷한 상품이 너무 많아 무엇을 골라야 할지 모르겠다, 상품 사진과 실제 모습이 다를까 걱정된다, 사이즈를 결정하기 어렵다, 소재나 품질을 사진만 보고 판단하기 어렵다, 리뷰가 너무 많아 필요한 정보를 찾기 어렵다, 광고성 / 협찬성 후기인지 구분하기 어렵다, 여러 쇼핑몰의 상품을 비교하기 번거롭다, 내가 입으려는 상황에 적절한 옷인지 판단하기 어렵다, 교환이나 반품이 귀찮아 구매가 망설여진다","교환이나 반품이 귀찮아 구매가 망설여진다","구매를 포기했다","사이즈가 맞지 않아서, 소재나 품질이 기대와 달라서","여러 날에 걸쳐 고민한다","로그인","내가 말한 조건에 맞는 상품만 골라주기, 여러 쇼핑몰의 상품을 한 번에 찾아주기, 내 체형에 잘 맞을 만한 상품인지 알려주기","원하는 것을 말이나 글로 설명하면 상품을 추천받는 방식","여러가지 코디"
"2026. 9. 1 오후 5:08:01","40~44세","3~4회","티셔츠 / 니트 / 블라우스 등 상의, 바지, 특별한 날에 입는 옷","티셔츠 / 니트 / 블라우스 등 상의, 특별한 날에 입는 옷","모임 / 결혼식 / 행사 등 특정 일정이 있어서","쿠팡","사진 후기를 찾아봤다, 다른 상품과 가격을 비교했다","가격, 할인 여부","검색어를 어떻게 입력해야 원하는 상품이 나오는지 어렵다, 비슷한 상품이 너무 많아 무엇을 골라야 할지 모르겠다, 사이즈를 결정하기 어렵다","나에게 어울릴지 판단하기 어렵다","리뷰를 오랫동안 찾아봤다, 마음에 완전히 들지 않아도 그냥 구매했다","소재나 품질이 기대와 달라서","여러 날에 걸쳐 고민한다","광고성 후기가 아닌 솔직한 후기를 찾는 과정","수많은 리뷰에서 중요한 내용만 정리해주기, 나와 비슷한 체형 / 연령의 후기만 찾아주기","여러 상품을 선택하면 비교해주는 방식","옷을 구매하면 색조합 코디가 같이 추천으로 떠서 한 벌을 고민 없이 사는 것과 그 색조합이 집에 있는 옷이면 매치 가능하도록 추천 해 주는 것"
"2026. 9. 1 오후 5:12:04","45~50세","7회 이상","티셔츠 / 니트 / 블라우스 등 상의, 바지, 스커트, 재킷 / 코트 / 점퍼 등 아우터, 정장 / 출근복, 운동복 / 골프웨어, 특별한 날에 입는 옷","티셔츠 / 니트 / 블라우스 등 상의","SNS / 광고 / 쇼핑앱에서 마음에 드는 상품을 발견해서","인스타그램 / 유튜브 등 SNS","SNS / 블로그 / 유튜브 후기를 찾아봤다","디자인이 마음에 드는지, 나에게 잘 어울릴 것 같은지, 소재 / 촉감, 브랜드","상품 사진과 실제 모습이 다를까 걱정된다, 나에게 어울릴지 판단하기 어렵다","사이즈를 결정하기 어렵다","결정을 미루고 나중에 다시 찾아봤다","생각했던 핏과 달라서, 나에게 어울리지 않아서","여러 날에 걸쳐 고민한다","반품","내가 말한 조건에 맞는 상품만 골라주기, 비슷한 상품끼리 차이점을 비교해주기","평소 쇼핑앱처럼 조건을 선택해서 검색","입어보기"
"2026. 9. 1 오후 5:16:02","35~39세","7회 이상","티셔츠 / 니트 / 블라우스 등 상의, 바지","티셔츠 / 니트 / 블라우스 등 상의","할인 / 특가 상품을 발견해서","쿠팡","검색어를 여러 번 바꿔가며 검색했다, 상품 목록을 오래 둘러봤다, 사이즈표를 확인했다, 구매후기를 많이 읽었다, 나와 비슷한 체형/연령의 후기를 찾아봤다","나에게 잘 어울릴 것 같은지, 체형이 잘 보완되는지, 가격, 브랜드, 리뷰가 좋은지","상품 사진과 실제 모습이 다를까 걱정된다, 내 체형에 맞을지 판단하기 어렵다, 사이즈를 결정하기 어렵다, 광고성 / 협찬성 후기인지 구분하기 어렵다","상품 사진과 실제 모습이 다를까 걱정된다","리뷰를 오랫동안 찾아봤다","사이즈가 맞지 않아서, 생각했던 핏과 달라서","여러 날에 걸쳐 고민한다","명확한 사이즈 불분명","나와 비슷한 체형 / 연령의 후기만 찾아주기, 내 체형에 잘 맞을 만한 상품인지 알려주기","평소 쇼핑앱처럼 조건을 선택해서 검색","여러 사이즈,여러 체형의 사람들이 실착한모습 비교사진있었으면좋겠다"
"2026. 9. 1 오후 5:18:04","45~50세","1~2회","티셔츠 / 니트 / 블라우스 등 상의, 원피스","원피스","평소 입을 옷이 필요해서","쿠팡","검색어를 여러 번 바꿔가며 검색했다, 여러 쇼핑몰이나 앱을 비교했다, 사이즈표를 확인했다","디자인이 마음에 드는지, 나에게 잘 어울릴 것 같은지, 체형이 잘 보완되는지, 다른 옷과 코디하기 쉬운지","원하는 스타일의 상품을 찾는 데 시간이 오래 걸린다, 상품 사진과 실제 모습이 다를까 걱정된다","원하는 스타일의 상품을 찾는 데 시간이 오래 걸린다","다른 쇼핑몰에서 다시 검색했다","사이즈가 맞지 않아서, 생각했던 핏과 달라서","여러 날에 걸쳐 고민한다","","내가 말한 조건에 맞는 상품만 골라주기, 여러 쇼핑몰의 상품을 한 번에 찾아주기, 비슷한 상품끼리 차이점을 비교해주기","평소 쇼핑앱처럼 조건을 선택해서 검색","나의 키. 체형.원하는 스타일등을 입력하면 어울릴법한 옷을 여러벌 추천해주면좋겠음"
"2026. 9. 1 오후 5:18:48","그 외","1~2회","운동복 / 골프웨어","정장 / 출근복","기존 옷을 교체하고 싶어서","쿠팡","여러 쇼핑몰이나 앱을 비교했다","디자인이 마음에 드는지, 색상이 나에게 어울리는지, 소재 / 촉감","원하는 스타일의 상품을 찾는 데 시간이 오래 걸린다","원하는 스타일의 상품을 찾는 데 시간이 오래 걸린다","다른 쇼핑몰에서 다시 검색했다","교환 / 반품한 적이 거의 없다","10~30분","소재확인","내가 말한 조건에 맞는 상품만 골라주기, 여러 쇼핑몰의 상품을 한 번에 찾아주기, 비슷한 상품끼리 차이점을 비교해주기","평소 쇼핑앱처럼 조건을 선택해서 검색","전체코디"
"2026. 9. 1 오후 5:20:59","35~39세","7회 이상","티셔츠 / 니트 / 블라우스 등 상의, 재킷 / 코트 / 점퍼 등 아우터","재킷 / 코트 / 점퍼 등 아우터","기타","지그재그 / 에이블리","검색어를 여러 번 바꿔가며 검색했다","배송 / 교환 / 반품이 편한지","소재나 품질을 사진만 보고 판단하기 어렵다","소재나 품질을 사진만 보고 판단하기 어렵다","마음에 완전히 들지 않아도 그냥 구매했다","소재나 품질이 기대와 달라서, 입어보니 불편해서","여러 날에 걸쳐 고민한다","사진으로 소재가 파악이 어려움","가격 대비 괜찮은 상품인지 비교해주기","평소 쇼핑앱처럼 조건을 선택해서 검색",""
"2026. 9. 1 오후 5:26:57","40~44세","1~2회","티셔츠 / 니트 / 블라우스 등 상의, 바지, 스커트","바지","평소 입을 옷이 필요해서","네이버 / 구글 등 검색","여러 쇼핑몰이나 앱을 비교했다, 사이즈표를 확인했다, 구매후기를 많이 읽었다, 사진 후기를 찾아봤다","나에게 잘 어울릴 것 같은지, 체형이 잘 보완되는지, 소재 / 촉감","비슷한 상품이 너무 많아 무엇을 골라야 할지 모르겠다, 상품 사진과 실제 모습이 다를까 걱정된다, 소재나 품질을 사진만 보고 판단하기 어렵다","비슷한 상품이 너무 많아 무엇을 골라야 할지 모르겠다","결정을 미루고 나중에 다시 찾아봤다","사이즈가 맞지 않아서, 나에게 어울리지 않아서","10~30분","나와 비슷한 체형의 후기를 찾기","내가 말한 조건에 맞는 상품만 골라주기, 나와 비슷한 체형 / 연령의 후기만 찾아주기, 나에게 맞는 사이즈를 추천해주기","원하는 것을 말이나 글로 설명하면 상품을 추천받는 방식","그동안 주문했었던 다양한 사이트 옷을 정리해서 스타일을 추천해주면 좋을거 같아요"
